position,flowgofluxconductionheat,effective_temperature_snyder,characteristic_surface_temperature,effective_radiation_temperature,flowgofluxforcedconvectionheat,flowgofluxradiationheat,flowgofluxsnyderheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
37650.0,486495.84181892924,814.1868208027497,0,0,0,0,10970917.886342265,11457413.728161193,783.1545150427407,0.42616792914207546,1290.7900926787631,391166.8974838315,2472.2,0.06047555340130574,773.15,0.8913335167575616,1.891616998428812e-05,-0.003673315711813783,0.005149617258176763,0.013328748029378992,0.017453292519943295,700.0059658460069,14.779999999999987,571.7662739428872,5656.359114191599
37660.0,488033.8816500623,814.1723351473554,0,0,0,0,11005433.409950264,11493467.291600326,785.6861854826296,0.42635709084191836,1290.753359521645,392343.6061964341,2472.2,0.06028068657825226,773.15,0.8913613078037141,1.8975694354336632e-05,-0.0036848747009705007,0.005149617258176763,0.013327606615760025,0.0174532925199433,700.0059658460069,14.779999999999987,572.4898665738751,5656.3591141915995
37670.0,489582.5945261336,814.1578333239651,0,0,0,0,11040189.99345528,11529772.587981414,788.2355750854872,0.4265468477854617,1290.7165107746353,393528.2478876831,2472.2,0.06008572080853419,773.15,0.8913891138283654,1.903563433503111e-05,-0.003696514397221577,0.005149617258176763,0.013326463922170965,0.017453292519943295,700.0059658460069,14.779999999999987,573.2163331348689,5656.359114191599
37680.0,491142.0955991712,814.1433152294167,0,0,0,0,11075190.24712699,11566332.342726162,790.8028759874323,0.426737204128812,1290.6795456306631,394720.9064947059,2472.2,0.05989065560339927,773.15,0.891416934902572,1.909599442603801e-05,-0.0037082356743535928,0.005149617258176763,0.013325319940137003,0.0174532925199433,700.0059658460069,14.779999999999987,573.9456954107413,5656.3591141915995
37690.0,492712.50171066343,814.1287807594825,0,0,0,0,11110436.819627678,11603149.32133834,793.3882831533714,0.4269281640730724,1290.6424632739197,395921.6671682692,2472.2,0.059695490469936004,773.15,0.8914447710979936,1.9156779193199215e-05,-0.0037200394190036808,0.005149617258176763,0.01332417466109523,0.017453292519943295,700.0059658460069,14.779999999999987,574.6779754336609,5656.359114191599
37700.0,494293.9314229516,814.1142298088549,0,0,0,0,11145932.398726987,11640226.330149937,795.9919944297001,0.42711973186500435,1290.6052628797297,397130.61629507004,2472.2,0.05950022491102306,773.15,0.8914726224868996,1.9217993269763916e-05,-0.003731926530898745,0.005149617258176763,0.013323028076393365,0.0174532925199433,700.0059658460069,14.779999999999987,575.4131954868478,5656.3591141915995
37710.0,495886.5050513251,814.09966227113,0,0,0,0,11181679.712032685,11677566.21708401,798.6142105981879,0.427311911797702,1290.5679436144208,398347.84152051853,2472.2,0.05930485842527836,773.15,0.8915004891421772,1.9279641357648088e-05,-0.003743897923100036,0.005149617258176763,0.01332188017728848,0.0174532925199433,700.0059658460069,14.779999999999987,576.151378108403,5656.3591141915995
37720.0,497490.34469686064,814.0850780387924,0,0,0,0,11217681.527738385,11715171.872435246,801.2551354311144,0.4275047082112785,1290.5305046351898,399573.43177204655,2472.2,0.05910939050700507,773.15,0.8915283711373381,1.9341728228723197e-05,-0.0037559545222534056,0.005149617258176763,0.013320730954945693,0.0174532925199433,700.0059658460069,14.779999999999987,576.892546095208,5656.3591141915995
37730.0,499105.57428000716,814.0704770031988,0,0,0,0,11253940.65538825,11753046.229668256,803.9149757476572,0.42769812549356573,1290.4929450899672,400807.4772829399,2472.2,0.0589138206461369,773.15,0.8915562685465277,1.9404258726134175e-05,-0.0037680972688452397,0.005149617258176763,0.013319580400436805,0.0174532925199433,700.0059658460069,14.779999999999987,577.6367225069016,5656.3591141915995
37740.0,500732.31957491685,814.0558590545618,0,0,0,0,11290459.946658751,11791192.266233668,806.5939414715397,0.4278921680808271,1290.4552641172788,402050.0696166929,2472.2,0.05871814832818467,773.15,0.8915841814445321,1.9467237765646786e-05,-0.003780327117464108,0.005149617258176763,0.013318428504738978,0.0174532925199433,700.0059658460069,14.779999999999987,578.383930669934,5656.3591141915995
37750.0,502370.7082445866,814.0412240819331,0,0,0,0,11327242.2961589,11829613.004403487,809.2922456900397,0.42808684045848355,1290.4174608461042,403301.3016919365,2472.2,0.05852237303417902,773.15,0.8916121099067866,1.9530670337026817e-05,-0.003792645037068581,0.005149617258176763,0.013317275258733314,0.0174532925199433,700.0059658460069,14.779999999999987,579.1341941816964,5656.3591141915995
